question_id,answers,paragraph_id
1,['2003'],1
2,['Dangerously in Love'],1
3,['Mathew Knowles'],1
4,['late 1990s'],1
5,['lead singer'],1
6,['2003'],1
7,['five'],1
8,['Dangerously in Love'],1
9,['acting'],2
10,['Beyoncé'],2
11,['Cadillac Records'],2
12,['June 2005'],2
13,"[""B'Day""]",2
14,['Dreamgirls'],2
15,['Jay Z'],2
16,['Sasha Fierce'],2
17,"['love, relationships, and monogamy']",3
18,['influential'],3
19,['2000s'],3
20,['Forbes'],3
21,['2013 and 2014'],3
22,['118 million'],3
23,['60 million'],3
24,['118 million'],3
25,['20'],3
26,['African-American'],4
27,['Methodist'],4
28,['Xerox'],4
29,['hairdresser and salon owner'],4
30,['Solange'],4
31,['Joseph Broussard'],4
32,['Xerox'],4
33,['salon'],4
34,['Solange'],4
35,['Joseph Broussard.'],4
36,['Fredericksburg'],5
37,['Darlette Johnson'],5
38,['Houston'],5
39,['dance instructor Darlette Johnson'],5
40,['music magnet school'],5
41,['Fredericksburg'],5
42,['Darlette Johnson'],5
43,['seven'],5
44,"[""Beyoncé's father""]",6
45,['Elektra Records'],6
46,['Sony Music'],6
47,['Elektra Records'],6
48,['age eight'],6
49,['Arne Frager'],6
50,['1995'],6
51,"[""Dwayne Wiggins's Grass Roots Entertainment""]",6
52,['Men in Black'],7
53,"['""Say My Name""']",7
54,['Marc Nelson'],7
55,['1996'],7
56,['Say My Name'],7
57,['Marc Nelson'],7
58,['Book of Isaiah.'],7
59,"['No, No, No']",7
60,['Marc Nelson'],7
61,['boyfriend left her'],8
62,['split with Luckett and Rober'],8
63,['her mother'],8
64,['Farrah Franklin and Michelle Williams.'],8
65,['Beyoncé'],8
66,['Farrah Franklin'],8
67,"['663,000 copies']",9
68,['Survivor'],9
69,['Carmen: A Hip Hopera'],9
70,['Survivor'],9
71,"['UK, Norway, and Belgium']",10
72,['The Fighting Temptations'],10
73,['Summertime'],10
74,['73 million'],10
75,['Fighting Temptations'],10
76,['Austin Powers in Goldmember'],10
77,['Foxxy Cleopatra'],10
78,['Work It Out'],10
79,['The Fighting Temptations'],10
80,['number four'],11
81,['Dangerously in Love'],11
82,['Jay Z'],11
83,['Dangerously in Love'],11
84,['number four'],11
85,['Luther Vandross'],11
86,"['June 24, 2003']",11
87,['five.'],11
88,['Destiny Fulfilled'],12
89,['2006'],12
90,['November 2003'],12
91,['Destiny Fulfilled'],12
92,['Barcelona'],12
93,['March 2006'],12
94,['Dangerously in Love Tour'],12
95,['Missy Elliott and Alicia Keys'],12
96,['Super Bowl XXXVIII'],12
97,['Destiny Fulfilled.'],12
98,"['541,000']",13
99,['Déjà Vu'],13
100,['five'],13
101,['Jay Z'],13
102,['top five'],13
103,"[""B'Day""]",13
104,"['541,000']",13
105,['Jay Z'],13
106,['Green Light'],13
107,['The Pink Panther'],14
108,['Dreamgirls'],14
109,['2007'],14
110,['24 million'],14
